InvoiceNo,StockCode,ProductName,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,TotalPrice,DiscountAmount,PriceAfterDiscount,Revenue,EstimatedCost,Profit,ProfitMargin,InvoiceYear
187498,Sku_1450,Office Chair,41,2020-01-01,59.51,32466.0,Australia,0.39,Bank Transfer,12.0,Furniture,In-Store,Not Returned,Fedex,Amsterdam,Low,2439.91,951.5649,1488.3451,1500.3451,1463.946,36.39910000000009,2.43,2020
999159,Sku_1330,Blue Pen,41,2020-01-01,25.59,89794.0,Australia,0.01,Credit Card,15.58,Stationery,In-Store,Not Returned,Fedex,Berlin,Medium,1049.19,10.491900000000001,1038.6981,1054.2781,629.514,424.7641,40.29,2020
275203,Sku_1709,Headphones,3,2020-01-01,2.09,97817.0,Spain,0.47,Credit Card,19.22,Electronics,Online,Not Returned,Royal Mail,Paris,Low,6.27,2.9469,3.3230999999999997,22.5431,3.7619999999999996,18.7811,83.31,2020
291335,Sku_1874,Wall Clock,29,2020-01-01,35.88,43017.0,Portugal,0.06,Credit Card,14.85,Home Decor,Online,Not Returned,Royal Mail,Amsterdam,High,1040.52,62.4312,978.0888,992.9388,624.312,368.6268,37.12,2020
378167,Sku_1163,T-Shirt,16,2020-01-01,82.58,85852.0,Belgium,0.41,Bank Transfer,27.02,Furniture,In-Store,Not Returned,Ups,Amsterdam,High,1321.28,541.7248,779.5552,806.5752,792.7679999999999,13.80720000000008,1.71,2020
141090,Sku_1656,Office Chair,7,2020-01-01,70.85,15473.0,Germany,0.0,Bank Transfer,23.66,Furniture,In-Store,Not Returned,Fedex,Paris,High,495.94999999999993,0.0,495.94999999999993,519.6099999999999,297.57,222.0399999999999,42.73,2020
429365,Sku_1341,Headphones,49,2020-01-01,14.91,55644.0,Netherlands,0.36,Bank Transfer,5.32,Electronics,Online,Not Returned,Royal Mail,Paris,Medium,730.59,263.0124,467.5776,472.8976,438.354,34.543600000000026,7.3,2020
164820,Sku_1000,Backpack,21,2020-01-01,1.07,20566.0,Sweden,0.49,Bank Transfer,15.09,Accessories,Online,Not Returned,Fedex,London,Medium,22.470000000000002,11.0103,11.459700000000002,26.5497,13.482000000000001,13.0677,49.22,2020
887201,Sku_1119,Usb Cable,46,2020-01-01,27.03,19819.0,Spain,0.26,Credit Card,23.8,Furniture,In-Store,Returned,Ups,London,Medium,1243.38,323.27880000000005,920.1012000000001,943.9012,746.028,197.8732,20.96,2020
421879,Sku_1578,Wall Clock,43,2020-01-01,77.17,24716.0,Norway,0.3,Bank Transfer,24.77,Home Decor,In-Store,Returned,Fedex,Berlin,Low,3318.31,995.4929999999999,2322.817,2347.587,1990.9859999999999,356.6010000000001,15.19,2020
818315,Sku_1463,Notebook,14,2020-01-01,66.89,16604.0,Norway,0.42,Paypall,15.05,Stationery,Online,Not Returned,Fedex,Berlin,High,936.46,393.3132,543.1468,558.1967999999999,561.876,-3.679200000000037,-0.66,2020
427069,Sku_1866,Wireless Mouse,39,2020-01-01,66.18,45103.0,Sweden,0.07,Bank Transfer,27.02,Electronics,Online,Not Returned,Royal Mail,Paris,High,2581.0200000000004,180.67140000000003,2400.3486000000003,2427.3686000000002,1548.6120000000003,878.7565999999999,36.2,2020
876997,Sku_1461,T-Shirt,24,2020-01-01,70.01,14803.0,Norway,0.12,Credit Card,13.16,Stationery,Online,Not Returned,Royal Mail,Paris,Low,1680.2400000000002,201.6288,1478.6112000000003,1491.7712000000004,1008.144,483.62720000000036,32.42,2020
299041,Sku_1048,T-Shirt,48,2020-01-02,27.87,26772.0,France,0.24,Bank Transfer,19.61,Electronics,Online,Not Returned,Ups,Berlin,Low,1337.76,321.06239999999997,1016.6976,1036.3075999999999,802.6560000000001,233.6515999999998,22.55,2020
891743,Sku_1818,Blue Pen,30,2020-01-02,59.53,62114.0,Germany,0.25,Paypall,23.67,Stationery,Online,Not Returned,Dhl,Rome,Low,1785.9,446.475,1339.4250000000002,1363.0950000000003,1071.54,291.5550000000003,21.39,2020
203355,Sku_1326,Usb Cable,33,2020-01-02,97.96,38576.0,Italy,0.23,Bank Transfer,7.25,Stationery,Online,Not Returned,Royal Mail,Paris,High,3232.68,743.5164,2489.1636,2496.4136,1939.608,556.8055999999999,22.3,2020
335796,Sku_1473,Wall Clock,22,2020-01-02,28.73,60532.0,Netherlands,0.25,Credit Card,8.44,Home Decor,Online,Not Returned,Fedex,Rome,Medium,632.0600000000001,158.01500000000001,474.0450000000001,482.48500000000007,379.236,103.24900000000008,21.4,2020
314176,Sku_1887,Office Chair,10,2020-01-02,86.71,47802.0,Australia,0.36,Credit Card,16.86,Furniture,Online,Not Returned,Dhl,Amsterdam,Low,867.0999999999999,312.15599999999995,554.944,571.804,520.26,51.54399999999998,9.01,2020
284779,Sku_1938,Usb Cable,11,2020-01-02,90.69,98066.0,United States,0.39,Credit Card,25.31,Furniture,Online,Not Returned,Dhl,Amsterdam,Medium,997.5899999999999,389.0601,608.5299,633.8399,598.554,35.28589999999997,5.57,2020
447449,Sku_1367,White Mug,15,2020-01-02,40.36,83531.0,Portugal,0.03,Credit Card,6.14,Home & Kitchen,In-Store,Not Returned,Royal Mail,Rome,High,605.4,18.162,587.2379999999999,593.3779999999999,363.23999999999995,230.13799999999998,38.78,2020
521909,Sku_1286,White Mug,48,2020-01-02,8.39,59307.0,Netherlands,0.08,Bank Transfer,15.29,Home & Kitchen,In-Store,Not Returned,Royal Mail,Amsterdam,Medium,402.72,32.217600000000004,370.5024,385.79240000000004,241.632,144.16040000000004,37.37,2020
358795,Sku_1023,Headphones,30,2020-01-02,99.31,61358.0,United Kingdom,0.31,Credit Card,22.31,Electronics,Online,Not Returned,Royal Mail,Berlin,Medium,2979.3,923.5830000000001,2055.717,2078.027,1787.58,290.4470000000001,13.98,2020
586232,Sku_1722,Wall Clock,14,2020-01-02,10.32,54696.0,France,0.01,Credit Card,28.9,Home Decor,In-Store,Returned,Dhl,Rome,Low,144.48000000000002,1.4448000000000003,143.03520000000003,171.93520000000004,86.688,85.24720000000003,49.58,2020
600186,Sku_1292,Headphones,32,2020-01-02,82.94,26741.0,Netherlands,0.15,Credit Card,28.6,Electronics,Online,Not Returned,Ups,Amsterdam,High,2654.08,398.11199999999997,2255.968,2284.5679999999998,1592.4479999999999,692.1199999999999,30.3,2020
256730,Sku_1448,T-Shirt,26,2020-01-02,35.39,28203.0,Australia,0.02,Bank Transfer,21.07,Stationery,In-Store,Not Returned,Dhl,Rome,Medium,920.14,18.4028,901.7372,922.8072000000001,552.084,370.72320000000013,40.17,2020
970910,Sku_1984,Backpack,21,2020-01-02,61.34,87631.0,Belgium,0.24,Bank Transfer,9.39,Accessories,In-Store,Not Returned,Dhl,London,Low,1288.14,309.15360000000004,978.9864,988.3764,772.884,215.49239999999998,21.8,2020
484681,Sku_1062,Desk Lamp,5,2020-01-02,30.77,41311.0,Spain,0.31,Paypall,15.27,Furniture,In-Store,Not Returned,Dhl,Amsterdam,Low,153.85,47.6935,106.1565,121.42649999999999,92.31,29.116499999999988,23.98,2020
249503,Sku_1567,Wireless Mouse,47,2020-01-02,38.11,52219.0,France,0.27,Paypall,25.15,Electronics,In-Store,Not Returned,Ups,Paris,Medium,1791.17,483.61590000000007,1307.5541,1332.7041000000002,1074.702,258.00210000000015,19.36,2020
754811,Sku_1457,T-Shirt,12,2020-01-02,29.06,30037.0,Portugal,0.15,Paypall,12.84,Stationery,Online,Not Returned,Ups,London,Low,348.71999999999997,52.30799999999999,296.412,309.25199999999995,209.232,100.01999999999995,32.34,2020
627035,Sku_1529,Notebook,29,2020-01-02,21.32,40568.0,Spain,0.16,Credit Card,10.88,Stationery,In-Store,Not Returned,Ups,Paris,Low,618.28,98.9248,519.3552,530.2352,370.968,159.26719999999995,30.04,2020
748143,Sku_1873,Blue Pen,21,2020-01-02,36.85,89341.0,Australia,0.15,Paypall,28.34,Stationery,In-Store,Not Returned,Ups,Berlin,Low,773.85,116.0775,657.7725,686.1125000000001,464.31,221.80250000000007,32.33,2020
552366,Sku_1960,Backpack,25,2020-01-02,86.68,69201.0,Australia,0.02,Bank Transfer,23.35,Accessories,In-Store,Not Returned,Royal Mail,Berlin,Medium,2167.0,43.34,2123.66,2147.0099999999998,1300.2,846.8099999999997,39.44,2020
165725,Sku_1412,Usb Cable,16,2020-01-02,9.08,46393.0,France,0.04,Bank Transfer,18.69,Apparel,In-Store,Not Returned,Royal Mail,Rome,Low,145.28,5.8112,139.4688,158.15879999999999,87.16799999999999,70.9908,44.89,2020
229981,Sku_1588,Desk Lamp,31,2020-01-02,2.1,47167.0,Norway,0.29,Bank Transfer,16.04,Furniture,Online,Not Returned,Ups,Amsterdam,Low,65.10000000000001,18.879,46.221000000000004,62.261,39.06,23.201,37.26,2020
184654,Sku_1259,Wall Clock,20,2020-01-02,24.36,73680.0,Norway,0.07,Bank Transfer,18.99,Home Decor,In-Store,Not Returned,Fedex,London,High,487.2,34.104,453.096,472.086,292.32,179.76600000000002,38.08,2020
691723,Sku_1632,Wireless Mouse,31,2020-01-02,84.83,57796.0,Netherlands,0.12,Bank Transfer,23.25,Electronics,In-Store,Not Returned,Ups,Paris,High,2629.73,315.56759999999997,2314.1624,2337.4124,1577.838,759.5744000000002,32.5,2020
419030,Sku_1907,Wireless Mouse,11,2020-01-02,93.1,18741.0,Australia,0.38,Paypall,8.78,Electronics,Online,Not Returned,Dhl,Paris,Low,1024.1,389.15799999999996,634.942,643.722,614.4599999999999,29.262000000000057,4.55,2020
428947,Sku_1183,T-Shirt,32,2020-01-03,81.47,85133.0,Italy,0.0,Bank Transfer,9.14,Electronics,Online,Not Returned,Dhl,Paris,High,2607.04,0.0,2607.04,2616.18,1564.224,1051.956,40.21,2020
373538,Sku_1146,Headphones,8,2020-01-03,20.35,75852.0,Belgium,0.1,Credit Card,20.37,Electronics,In-Store,Not Returned,Ups,Rome,Low,162.8,16.28,146.52,166.89000000000001,97.68,69.21000000000001,41.47,2020
431236,Sku_1793,Wall Clock,23,2020-01-03,33.63,25739.0,France,0.33,Bank Transfer,6.6,Home Decor,Online,Not Returned,Dhl,Rome,Medium,773.49,255.25170000000003,518.2383,524.8383,464.094,60.74430000000001,11.57,2020
628178,Sku_1875,Backpack,8,2020-01-03,68.66,79905.0,Netherlands,0.13,Credit Card,26.31,Accessories,In-Store,Not Returned,Royal Mail,London,Low,549.28,71.4064,477.87359999999995,504.18359999999996,329.568,174.61559999999997,34.63,2020
665894,Sku_1805,Headphones,2,2020-01-03,33.4,59341.0,Sweden,0.16,Bank Transfer,18.88,Electronics,Online,Not Returned,Royal Mail,Berlin,Low,66.8,10.688,56.111999999999995,74.99199999999999,40.08,34.91199999999999,46.55,2020
589492,Sku_1591,T-Shirt,27,2020-01-03,49.95,28756.0,Italy,0.3,Paypall,10.36,Stationery,In-Store,Not Returned,Dhl,London,Medium,1348.65,404.595,944.0550000000001,954.4150000000001,809.1899999999999,145.22500000000014,15.22,2020
356840,Sku_1747,Office Chair,36,2020-01-03,5.04,61799.0,United Kingdom,0.15,Bank Transfer,27.63,Furniture,In-Store,Returned,Fedex,Paris,Low,181.44,27.215999999999998,154.224,181.85399999999998,108.864,72.98999999999998,40.14,2020
573254,Sku_1408,Blue Pen,35,2020-01-03,4.66,32638.0,Australia,0.27,Paypall,19.65,Stationery,In-Store,Not Returned,Ups,London,Low,163.1,44.037,119.06299999999999,138.713,97.86,40.852999999999994,29.45,2020
449457,Sku_1439,Desk Lamp,23,2020-01-03,73.48,80321.0,Italy,0.37,Bank Transfer,29.57,Furniture,Online,Not Returned,Dhl,Amsterdam,High,1690.0400000000002,625.3148000000001,1064.7252,1094.2952,1014.024,80.27120000000002,7.34,2020
765987,Sku_1457,Blue Pen,41,2020-01-03,11.4,35294.0,Germany,0.08,Bank Transfer,12.87,Stationery,Online,Not Returned,Ups,Berlin,High,467.40000000000003,37.392,430.00800000000004,442.87800000000004,280.44,162.43800000000005,36.68,2020
370936,Sku_1228,Backpack,48,2020-01-03,28.29,47376.0,Belgium,0.33,Bank Transfer,16.89,Accessories,Online,Not Returned,Dhl,Rome,High,1357.92,448.1136,909.8064,926.6964,814.752,111.94440000000009,12.08,2020
339931,Sku_1283,Office Chair,13,2020-01-03,1.47,46641.0,Spain,0.32,Paypall,8.53,Furniture,Online,Not Returned,Ups,London,Low,19.11,6.1152,12.9948,21.5248,11.466,10.0588,46.73,2020
339629,Sku_1572,Notebook,31,2020-01-03,55.33,72552.0,Italy,0.05,Credit Card,25.13,Stationery,Online,Not Returned,Royal Mail,Paris,Low,1715.23,85.76150000000001,1629.4685,1654.5985,1029.138,625.4605000000001,37.8,2020
798361,Sku_1344,Office Chair,30,2020-01-03,45.18,64580.0,Netherlands,0.32,Credit Card,13.75,Furniture,Online,Not Returned,Ups,Amsterdam,Medium,1355.4,433.72800000000007,921.672,935.422,813.24,122.18200000000002,13.06,2020
831912,Sku_1600,Wireless Mouse,6,2020-01-03,78.9,54809.0,Italy,0.1,Bank Transfer,12.89,Electronics,Online,Not Returned,Dhl,Berlin,High,473.40000000000003,47.34,426.06000000000006,438.95000000000005,284.04,154.91000000000003,35.29,2020
517113,Sku_1946,Notebook,20,2020-01-03,39.0,43390.0,Italy,0.09,Paypall,21.67,Stationery,Online,Not Returned,Royal Mail,Berlin,Medium,780.0,70.2,709.8,731.4699999999999,468.0,263.4699999999999,36.02,2020
168148,Sku_1907,Wireless Mouse,26,2020-01-03,25.56,59957.0,United States,0.48,Bank Transfer,10.4,Electronics,In-Store,Not Returned,Ups,London,High,664.56,318.98879999999997,345.5712,355.97119999999995,398.736,-42.76480000000004,-12.01,2020
877089,Sku_1263,Office Chair,36,2020-01-03,34.13,68005.0,Italy,0.32,Bank Transfer,20.69,Furniture,Online,Not Returned,Fedex,Paris,Medium,1228.68,393.17760000000004,835.5024000000001,856.1924000000001,737.2080000000001,118.98440000000005,13.9,2020
748531,Sku_1739,Usb Cable,19,2020-01-03,69.38,96641.0,Norway,0.33,Paypall,27.74,Furniture,Online,Not Returned,Ups,Amsterdam,Medium,1318.2199999999998,435.01259999999996,883.2073999999998,910.9473999999998,790.9319999999999,120.01539999999989,13.17,2020
351995,Sku_1377,Usb Cable,22,2020-01-03,94.81,33544.0,Germany,0.43,Bank Transfer,25.61,Accessories,In-Store,Not Returned,Ups,London,Medium,2085.82,896.9026,1188.9174000000003,1214.5274000000002,1251.492,-36.96459999999979,-3.04,2020
778843,Sku_1102,Wall Clock,12,2020-01-03,70.77,94953.0,Germany,0.33,Bank Transfer,17.0,Home Decor,In-Store,Not Returned,Fedex,Rome,High,849.24,280.24920000000003,568.9908,585.9908,509.544,76.44680000000005,13.05,2020
356508,Sku_1599,T-Shirt,5,2020-01-04,61.05,55140.0,Spain,0.45,Bank Transfer,8.03,Electronics,Online,Not Returned,Royal Mail,Rome,Low,305.25,137.3625,167.8875,175.9175,183.14999999999998,-7.2324999999999875,-4.11,2020
903591,Sku_1022,T-Shirt,5,2020-01-04,94.77,55936.0,Portugal,0.13,Bank Transfer,19.81,Electronics,Online,Not Returned,Royal Mail,Rome,Low,473.84999999999997,61.6005,412.24949999999995,432.05949999999996,284.30999999999995,147.7495,34.2,2020
996942,Sku_1292,White Mug,43,2020-01-04,15.02,34933.0,Australia,0.02,Credit Card,18.34,Home & Kitchen,Online,Not Returned,Ups,Berlin,High,645.86,12.917200000000001,632.9428,651.2828000000001,387.51599999999996,263.7668000000001,40.5,2020
206530,Sku_1266,Notebook,23,2020-01-04,24.56,14443.0,Sweden,0.32,Paypall,14.23,Stationery,Online,Not Returned,Royal Mail,London,Low,564.88,180.76160000000002,384.11839999999995,398.34839999999997,338.928,59.42039999999997,14.92,2020
704365,Sku_1528,Office Chair,14,2020-01-04,66.41,16761.0,United Kingdom,0.22,Paypall,22.68,Furniture,Online,Not Returned,Royal Mail,Amsterdam,High,929.74,204.5428,725.1972000000001,747.8772,557.8439999999999,190.03320000000008,25.41,2020
922352,Sku_1475,White Mug,49,2020-01-04,49.41,80434.0,United Kingdom,0.38,Bank Transfer,8.8,Home & Kitchen,In-Store,Not Returned,Royal Mail,London,Low,2421.0899999999997,920.0141999999998,1501.0757999999998,1509.8757999999998,1452.6539999999998,57.22180000000003,3.79,2020
560337,Sku_1951,Blue Pen,39,2020-01-04,36.99,83214.0,Belgium,0.38,Paypall,20.06,Stationery,In-Store,Not Returned,Dhl,Rome,Medium,1442.6100000000001,548.1918000000001,894.4182000000001,914.4782,865.5659999999999,48.9122000000001,5.35,2020
824839,Sku_1948,Blue Pen,7,2020-01-04,36.14,48511.0,United States,0.34,Bank Transfer,6.87,Stationery,In-Store,Not Returned,Ups,Amsterdam,Medium,252.98000000000002,86.01320000000001,166.9668,173.8368,151.788,22.0488,12.68,2020
905889,Sku_1450,Backpack,35,2020-01-04,30.82,53228.0,Italy,0.03,Credit Card,8.87,Accessories,Online,Returned,Fedex,Paris,Low,1078.7,32.361,1046.339,1055.2089999999998,647.22,407.9889999999998,38.66,2020
559773,Sku_1897,Wireless Mouse,38,2020-01-04,81.28,42562.0,Sweden,0.18,Paypall,27.77,Electronics,In-Store,Not Returned,Dhl,Amsterdam,High,3088.64,555.9552,2532.6848,2560.4548,1853.184,707.2708,27.62,2020
308261,Sku_1284,Headphones,14,2020-01-04,36.13,96452.0,Italy,0.34,Credit Card,14.95,Electronics,In-Store,Returned,Dhl,Berlin,Low,505.82000000000005,171.97880000000004,333.8412,348.7912,303.492,45.299199999999985,12.99,2020
864469,Sku_1312,Usb Cable,17,2020-01-04,8.62,35193.0,Belgium,0.13,Paypall,19.11,Stationery,Online,Not Returned,Fedex,Amsterdam,Low,146.54,19.0502,127.48979999999999,146.5998,87.92399999999999,58.675799999999995,40.02,2020
441097,Sku_1161,T-Shirt,7,2020-01-04,15.96,30966.0,United Kingdom,0.28,Paypall,23.88,Electronics,Online,Not Returned,Dhl,Paris,High,111.72,31.2816,80.4384,104.3184,67.03200000000001,37.286399999999986,35.74,2020
415139,Sku_1589,Usb Cable,20,2020-01-04,49.92,62514.0,Germany,0.4,Bank Transfer,8.34,Electronics,Online,Not Returned,Royal Mail,Rome,Low,998.4000000000001,399.36000000000007,599.04,607.38,599.04,8.340000000000032,1.37,2020
271829,Sku_1121,T-Shirt,34,2020-01-04,13.63,61596.0,Norway,0.08,Bank Transfer,24.2,Stationery,Online,Not Returned,Dhl,Berlin,Low,463.42,37.0736,426.3464,450.5464,278.052,172.49439999999998,38.29,2020
371836,Sku_1480,T-Shirt,30,2020-01-04,83.42,62583.0,United Kingdom,0.45,Bank Transfer,5.92,Electronics,Online,Not Returned,Ups,Paris,Low,2502.6,1126.17,1376.4299999999998,1382.35,1501.56,-119.21000000000004,-8.62,2020
538974,Sku_1111,Wireless Mouse,40,2020-01-04,91.57,82963.0,Norway,0.35,Paypall,29.97,Electronics,In-Store,Not Returned,Fedex,London,High,3662.7999999999997,1281.9799999999998,2380.8199999999997,2410.7899999999995,2197.68,213.10999999999967,8.84,2020
302283,Sku_1238,T-Shirt,13,2020-01-04,7.54,89681.0,Belgium,0.38,Credit Card,26.46,Stationery,In-Store,Not Returned,Royal Mail,Rome,Low,98.02,37.2476,60.7724,87.2324,58.812,28.4204,32.58,2020
296769,Sku_1209,White Mug,6,2020-01-04,87.27,79200.0,Belgium,0.08,Paypall,22.59,Home & Kitchen,Online,Not Returned,Dhl,Paris,Low,523.62,41.8896,481.73040000000003,504.3204,314.17199999999997,190.14840000000004,37.7,2020
661353,Sku_1348,White Mug,27,2020-01-04,68.95,28796.0,United States,0.45,Bank Transfer,18.1,Home & Kitchen,Online,Not Returned,Ups,Amsterdam,Medium,1861.65,837.7425000000001,1023.9075,1042.0075,1116.99,-74.98250000000007,-7.2,2020
323165,Sku_1510,Backpack,18,2020-01-04,33.22,76428.0,France,0.22,Bank Transfer,24.77,Accessories,Online,Not Returned,Royal Mail,Rome,Medium,597.96,131.55120000000002,466.40880000000004,491.1788,358.77599999999995,132.40280000000007,26.96,2020
723587,Sku_1001,Blue Pen,24,2020-01-04,25.98,46156.0,Italy,0.13,Bank Transfer,16.68,Stationery,Online,Not Returned,Fedex,Amsterdam,Medium,623.52,81.0576,542.4624,559.1424,374.11199999999997,185.0304,33.09,2020
635822,Sku_1891,Office Chair,32,2020-01-04,41.15,97271.0,United Kingdom,0.4,Credit Card,7.7,Furniture,Online,Not Returned,Dhl,Berlin,High,1316.8,526.72,790.0799999999999,797.78,790.0799999999999,7.7000000000000455,0.97,2020
587879,Sku_1714,Wall Clock,39,2020-01-04,60.36,90167.0,Sweden,0.07,Bank Transfer,24.41,Home Decor,In-Store,Not Returned,Ups,Rome,High,2354.04,164.7828,2189.2572,2213.6672,1412.424,801.2431999999999,36.2,2020
664685,Sku_1798,Backpack,26,2020-01-05,24.81,95325.0,Germany,0.4,Credit Card,26.82,Accessories,In-Store,Returned,Royal Mail,Rome,Medium,645.06,258.024,387.03599999999994,413.85599999999994,387.036,26.819999999999936,6.48,2020
882038,Sku_1628,White Mug,34,2020-01-05,88.14,41384.0,Netherlands,0.07,Bank Transfer,12.45,Home & Kitchen,Online,Not Returned,Ups,London,High,2996.76,209.77320000000003,2786.9868,2799.4368,1798.056,1001.3807999999999,35.77,2020
453531,Sku_1880,Wall Clock,21,2020-01-05,3.75,84562.0,Portugal,0.02,Bank Transfer,16.33,Home Decor,In-Store,Not Returned,Dhl,Berlin,Low,78.75,1.575,77.175,93.505,47.25,46.254999999999995,49.47,2020
749837,Sku_1771,T-Shirt,38,2021-01-01,1.27,81789.0,Norway,0.05,Credit Card,9.91,Stationery,Online,Not Returned,Ups,London,High,48.26,2.4130000000000003,45.846999999999994,55.75699999999999,28.956,26.80099999999999,48.07,2021
533917,Sku_1098,Wireless Mouse,45,2021-01-01,24.81,79451.0,Australia,0.23,Bank Transfer,17.26,Electronics,In-Store,Not Returned,Dhl,Rome,Low,1116.45,256.7835,859.6665,876.9265,669.87,207.05650000000003,23.61,2021
237799,Sku_1064,Wall Clock,35,2021-01-01,14.24,39470.0,Italy,0.3,Paypall,11.14,Home Decor,Online,Not Returned,Fedex,Rome,Low,498.40000000000003,149.52,348.88,360.02,299.04,60.97999999999996,16.94,2021
865820,Sku_1296,Wall Clock,11,2021-01-01,55.98,10569.0,Belgium,0.2,Bank Transfer,25.8,Home Decor,In-Store,Not Returned,Fedex,Berlin,High,615.78,123.156,492.62399999999997,518.424,369.46799999999996,148.95600000000002,28.73,2021
281789,Sku_1426,Desk Lamp,18,2021-01-01,75.01,11946.0,Spain,0.17,Paypall,8.66,Furniture,Online,Not Returned,Dhl,Rome,Medium,1350.18,229.53060000000002,1120.6494,1129.3094,810.108,319.20140000000015,28.27,2021
772052,Sku_1756,Headphones,41,2021-01-01,39.48,50829.0,Australia,0.02,Paypall,8.34,Electronics,In-Store,Not Returned,Dhl,Berlin,High,1618.6799999999998,32.373599999999996,1586.3064,1594.6463999999999,971.208,623.4383999999999,39.1,2021
655913,Sku_1694,Wall Clock,13,2021-01-01,46.65,10387.0,United Kingdom,0.07,Credit Card,20.6,Home Decor,In-Store,Not Returned,Royal Mail,Paris,Low,606.4499999999999,42.451499999999996,563.9984999999999,584.5985,363.87,220.72849999999994,37.76,2021
911350,Sku_1914,Wireless Mouse,39,2021-01-01,64.85,92050.0,Italy,0.24,Paypall,8.86,Electronics,Online,Not Returned,Royal Mail,Paris,Medium,2529.1499999999996,606.9959999999999,1922.1539999999998,1931.0139999999997,1517.4899999999998,413.5239999999999,21.41,2021
534352,Sku_1148,Wall Clock,5,2021-01-01,66.04,62455.0,United Kingdom,0.18,Credit Card,8.63,Home Decor,Online,Not Returned,Royal Mail,Berlin,High,330.20000000000005,59.43600000000001,270.764,279.394,198.12,81.274,29.09,2021
739169,Sku_1508,T-Shirt,36,2021-01-01,54.54,52160.0,Sweden,0.14,Bank Transfer,5.49,Accessories,In-Store,Not Returned,Fedex,Rome,Medium,1963.44,274.88160000000005,1688.5584,1694.0484,1178.0639999999999,515.9844,30.46,2021
545625,Sku_1441,Desk Lamp,46,2021-01-01,5.08,48822.0,United Kingdom,0.18,Credit Card,9.03,Furniture,In-Store,Not Returned,Dhl,Berlin,High,233.68,42.0624,191.6176,200.6476,140.208,60.43960000000001,30.12,2021
902009,Sku_1413,Desk Lamp,25,2021-01-01,51.32,27082.0,Norway,0.37,Bank Transfer,9.61,Furniture,In-Store,Not Returned,Royal Mail,Paris,Medium,1283.0,474.71,808.29,817.9,769.8,48.10000000000002,5.88,2021
447299,Sku_1115,Office Chair,4,2021-01-01,4.24,53813.0,Australia,0.28,Bank Transfer,17.1,Furniture,Online,Not Returned,Dhl,London,Medium,16.96,4.748800000000001,12.2112,29.3112,10.176,19.135199999999998,65.28,2021
